"","x"
"1","Aa, Mea, AaAd"
"2","Aa, Ca, Mea, AaAd, CaAd"
"3","Aa, Mea, AaAd"
"4","Aa, Ca, Mea, AaAd"
"5","Aa, Mea, AaAd"
"6","Aa, Mea, AaAd"
"7","Aa, Ad, Mea, AaAd, CaAd"
"8","Aa, Mea, AaAd"
"9","Aa, Mea, AaAd"
"10","Aa, Mea, AaAd"
"11","Aa, Mea, AaAd, CaAd"
"12","Aa, Ca, Mea, AaAd, CaAd"
"13","Aa, Mea, AaAd"
"14","Aa, Mea, AaAd"
"15","Aa, Mea, AaAd, CaAd"
"16","Aa, Mea, AaAd"
"17","Aa, Ad, Mea, AaAa, AaAd, CaAa"
"18","Aa, Mea, AaAd"
"19","Aa, Mea, AaAd"
"20","Aa, Mea, AaAd"
"21","Aa, Mea, AaAd"
"22","Aa, Mea, AaAd, CaAa"
"23","Aa, Mea, AaAa, AaAd"
"24","Aa, Mea, AaAd"
"25","Aa, Mea, AaAd"
"26","Aa, Mea, AaAd"
"27","Aa, Mea, AaAd"
"28","Aa, Mea, AaAd"
"29","Aa, Mea, AaAd"
"30","Aa, Mea, AaAd"
"31","Aa, Mea, AaAd"
"32","Aa, Mea, AaAd"
"33","Aa, Mea, AaAd"
"34","Aa, Mea, AaAd"
"35","Aa, Mea, AaAd"
"36","Aa, Mea, AaAd"
"37","Aa, Mea, AaAd, CaAa"
"38","Aa, Mea, AaAd"
"39","Aa, Mea, AaAd"
"40","Aa, Mea, AaAd"
"41","Aa, Mea, AaAd"
"42","Aa, Mea, AaAd, CaAa"
"43","Aa, Mea, AaAd"
"44","Aa, Mea, AaAd"
"45","Aa, Ad, Mea, AaAd, AdAd"
"46","Aa, Mea, AaAd"
"47","Aa, Mea, AaAd"
"48","Aa, Mea, AaAd"
"49","Aa, Mea, AaAd, CaAd"
"50","Aa, Mea, AaAd"
"51","Aa, Mea, AaAd"
"52","Aa, Ad, Mea, AaAd, CaAa"
"53","Aa, Ca, Med, AaAa, AaAd, CaAa"
"54","Aa, Mea, AaAd"
"55","Aa, Ad, Mea, Med, AaAd"
"56","Aa, Mea, Med, AaAd, CaAa"
"57","Aa, Mea, AaAd"
"58","Aa, Mea, AaAd"
"59","Aa, Mea, AaAd"
"60","Aa, Mea, AaAd, CaAa"
"61","Aa, Mea, AaAd"
"62","Aa, Ca, Mea, AaAd, AdAd"
"63","Aa, Mea, AaAd"
"64","Aa, Mea, AaAd"
"65","Aa, Mea, AaAd"
"66","Aa, Mea, AaAd"
"67","Aa, Mea, AaAd"
"68","Aa, Mea, AaAd, CaAd"
"69","Aa, Mea, AaAd"
"70","Aa, Mea, AaAd"
"71","Aa, Mea, AaAa, AaAd"
"72","Aa, Mea, AaAd"
"73","Aa, Mea, AaAd, CaAd"
"74","Aa, Mea, AaAd"
"75","Aa, Mea, AaAd"
"76","Aa, Mea, AaAd"
"77","Aa, Mea, AaAd"
"78","Aa, Mea, AaAd"
"79","Aa, Ca, Mea, AaAd"
"80","Aa, Mea, AaAd"
"81","Aa, Mea, AaAd"
"82","Aa, Mea, AaAd"
"83","Aa, Mea, AaAd"
"84","Aa, Mea, AaAd"
"85","Aa, Mea, AaAd"
"86","Aa, Mea, AaAd"
"87","Aa, Mea, AaAd"
"88","Aa, Mea, AaAd"
"89","Aa, Mea, AaAa, AaAd"
"90","Aa, Mea, AaAd"
"91","Aa, Mea, AaAd"
"92","Aa, Mea, AaAd"
"93","Aa, Ad, Ca, Med, AaAd, CaAa"
"94","Aa, Mea, AaAd"
"95","Aa, Mea, AaAd"
"96","Aa, Mea, AaAd"
"97","Aa, Mea, AaAd"
"98","Aa, Mea, AaAd"
"99","Aa, Ad, Mea, AaAd"
"100","Aa, Mea, AaAd"
"101","Aa, Ad, Mea, AaAd, CaAa"
"102","Aa, Mea, AaAd"
"103","Aa, Mea, AaAd"
"104","Aa, Mea, AaAd"
"105","Aa, Mea, AaAd"
"106","Aa, Mea, AaAd"
"107","Aa, Ca, Mea, AaAd, AdAd"
"108","Aa, Ad, Mea, AaAd"
"109","Aa, Mea, AaAd"
"110","Aa, Mea, AaAd"
"111","Aa, Mea, AaAd"
"112","Aa, Ca, Med, AaAd"
"113","Aa, Mea, AaAd"
"114","Aa, Ca, Med, AaAd"
"115","Aa, Mea, AaAd"
"116","Aa, Mea, AaAa, AaAd"
"117","Aa, Mea, AaAd"
"118","Aa, Mea, AaAd"
