"","M","Aa","Ad","Xa","Ca","Mea","Med","AaAa","AaAd","AdAd","XaAa","XaAd","CaAa","CaAd","CaXa"
"Model Weighted Average","4.58872511633587","0.224087964655767","0","0","0","0.107071686217829","0","-0.539652204281468","0","0","0.634235258574001","0","0","-0.088717377277915","-0.250469716791727"
"Unconditional Standard Error","0.00379906869708551","0.00806119344890199","0","0","0","0.00736345094975179","0","0.0176060024536197","0","0","0.020150590629542","0","0","0.00706832423210725","0.009320602143608"
