"","M","Aa","Ad","Xa","Ya","Ca","Med","AaAa","AaAd","AdAd","XaAa","XaAd","YaAa","YaAd","YaXa","CaAd","CaXa","CaYa"
"Model Weighted Average","1.87603269008131","0.049450119339743","0.00370862681697107","-0.0122506614909955","0.00096873337275025","0.000180532685962528","-0.000503736453946626","-0.0802668927829541","-0.000515860144148909","-0.00643594030227481","-0.00423127172653506","0.00134429431044089","-0.0221905617975317","0.000378620297892162","-0.00185431340848551","6.99567095358588e-05","0.000503736453946632","0.0419572959453371"
"Unconditional Standard Error","0.016964954109598","0.0132998069474357","0.00750196023712688","0.00768302010145111","0.00193967837514735","0.000701777950319276","0.00111035834235978","0.0639250656627848","0.00411710604236918","0.012647039917954","0.0200249651601833","0.00345233240223703","0.0278723991022018","0.000899559350150061","0.00375098011856339","0.000577737003406563","0.00111035834235979","0.0184880984355359"
