"","M","Aa","Ad","Xa","Ya","Ca","Med","AaAa","AaAd","AdAd","XaAa","XaAd","YaAa","YaAd","YaXa","CaAd","CaXa","CaYa"
"Model Weighted Average","1.88434406294549","0.0546543114678732","0","-0.014441399043066","0","0","0","-0.0960749862233829","0","0","-0.00452005786666643","0","-0.0291649906593484","0","0","0","0","0.052073547872014"
"Unconditional Standard Error","0.00680989840761854","0.00517112217841261","0","0.00326191364231783","0","0","0","0.0559158504667961","0","0","0.0237827631022981","0","0.0307098048681141","0","0","0","0","0.0077705824749978"
