(sire x dam),ID,M,Aa,Ad,Xa,Xd,Ya,Ca,Mea,Med,AaAa,AaAd,AdAd,XaAa,XaAd,XdAa,XdAd,YaAa,YaAd,YaXa,CaAa,CaAd,CaXa,CaXd,CaYa
2BC2a(BC2axP2):mixed,54,1,-0.75,0.25,-0.75,0.25,-0.5,-1,-1,0,0.5625,-0.1875,0.0625,0.5625,-0.1875,-0.1875,0.0625,0.375,-0.125,0.375,0.75,-0.25,0.75,-0.25,0.5
F1p(pooled)rF1&F1:daughters,55,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
F1p(pooled)rF1&F1:sons,56,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F1p(pooled)rF1&F1:mixed,57,1,0,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0
rBC1ap(P1xF1p):daughters,58,1,0.5,0.5,0.5,0.5,0,0,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0
rBC1ap(P1xF1p):sons,59,1,0.5,0.5,0,0,1,0,0,1,0.25,0.25,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0,0
rBC1ap(P1xF1p):mixed,60,1,0.5,0.5,0.25,0.25,0.5,0,0,1,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0,0,0,0,0
BC1ap (F1pxP1):daughters,61,1,0.5,0.5,-0.5,0.5,0,1,1,0,0.25,0.25,0.25,-0.25,-0.25,0.25,0.25,0,0,0,0.5,0.5,-0.5,0.5,0
BC1ap (F1pxP1):sons,62,1,0.5,0.5,1,0,0,1,1,0,0.25,0.25,0.25,0.5,0.5,0,0,0,0,0,0.5,0.5,1,0,0
BC1ap (F1pxP1):mixed,63,1,0.5,0.5,0.25,0.25,0,1,1,0,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0,0,0,0.5,0.5,0.25,0.25,0
rBC2ap(P2xF1p):daughters,64,1,-0.5,0.5,-0.5,0.5,0,0,0,1,0.25,-0.25,0.25,0.25,-0.25,-0.25,0.25,0,0,0,0,0,0,0,0
rBC2ap(P2xF1p):sons,65,1,-0.5,0.5,0,0,-1,0,0,1,0.25,-0.25,0.25,0,0,0,0,0.5,-0.5,0,0,0,0,0,0
rBC2ap(P2xF1p):mixed,66,1,-0.5,0.5,-0.25,0.25,-0.5,0,0,1,0.25,-0.25,0.25,0.125,-0.125,-0.125,0.125,0.25,-0.25,0.125,0,0,0,0,0
BC2ap (F1pxP2):daughters,67,1,-0.5,0.5,0.5,0.5,0,-1,-1,0,0.25,-0.25,0.25,-0.25,0.25,-0.25,0.25,0,0,0,0.5,-0.5,-0.5,-0.5,0
BC2ap (F1pxP2):sons,68,1,-0.5,0.5,-1,0,0,-1,-1,0,0.25,-0.25,0.25,0.5,-0.5,0,0,0,0,0,0.5,-0.5,1,0,0
BC2ap (F1pxP2):mixed,69,1,-0.5,0.5,-0.25,0.25,0,-1,-1,0,0.25,-0.25,0.25,0.125,-0.125,-0.125,0.125,0,0,0,0.5,-0.5,0.25,-0.25,0
