"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"178","0.758792065530816","0.00152766834924931","1.51757895263091","0","0.00103959041043536","0","0.758793587743236","0.00407741775265474","0.758795467396365","0","0"
"179","0.796522812377114","0.00599326858288826","1.59295407959941","0","0.00421215308781919","0","0.79654498980955","0.0167909442420876","0.796574382977412","0","0"
"180","0.774524722494822","0.0149557714452227","1.54859366282133","0","0.00952777184621915","0","0.774687251288307","0.0394423589648321","0.77481420157123","0","0"
"181","0.752238320886749","0.00304904826975083","1.50445236079156","0","0.00203016018816047","0","0.752244682151833","0.00870397762819681","0.752252050588707","0","0"
"182","0.78848698294999","0.0206343012765703","1.57600509222015","0","0.0128611495732658","0","0.7888063023511","0.0570719809604494","0.789014327188921","0","0"
"183","0.789314363001679","0.0155549315707862","1.57828621724184","0","0.0084092803208848","0","0.789526072110893","0.0381319627982876","0.789552722615491","0","0"
"184","0.777080780770207","0.0168222630389352","1.55355413674055","0","0.0106032191755966","0","0.777292079912117","0.0452570574245119","0.77744264959167","0","0"
"185","0.000509353117475036","0","0","0.67922055481353","0.679220383304018","0.679219552972197","0","0.000844434284381436","0.000546825553939093","0.000553146035321728","0.000255954902407418"
"186","0.789878622484839","0.00181479785774519","1.57975256337238","0","0.00101318833999547","0","0.789881447474005","0.00433989842592821","0.789882339927694","0","0"
"187","0.764552375551578","0.0015797873271683","1.52909826272805","0","0.000999820032288055","0","0.764554237365776","0.00458872027406947","0.764555816252158","0","0"
"188","0.781815893398268","0.0201971404806397","1.56269977492207","0","0.0152084162119962","0","0.782031777812775","0.0512252553442798","0.782484846322617","0","0"
"189","0.752352620524882","0.00799944106740437","1.50454971967661","0","0.00535018311778871","0","0.752396061817786","0.0222487568343235","0.752444886783372","0","0"
"190","0.788079289532944","0.0109048448503865","1.57590972049771","0","0.00700668156438864","0","0.788165811152552","0.0288426217904069","0.788233059169705","0","0"
"191","0.790682458056593","0.0139820526715245","1.58094042104428","0","0.00970099594407603","0","0.790808177821446","0.0357109827067703","0.790977246781039","0","0"
"192","0.796481841076145","0.0117822818530534","1.59260150740119","0","0.0076781925337699","0","0.796579234760245","0.0341748598880595","0.796665167799646","0","0"
"193","0.7763780633877","0.0183882762291051","1.55189781282498","0","0.0122843408725827","0","0.776605257527505","0.0525722786224544","0.776841686696807","0","0"
"194","0.78239373994312","0.00689667176863669","1.56469198600963","0","0.00440921068784628","0","0.782429148362992","0.0175722810214526","0.782456812097565","0","0"
"195","0.775141831168917","0.0154030896542954","1.54990296596918","0","0.00846408331397888","0","0.775342574043812","0.0394856353739665","0.775399646246893","0","0"
"196","0.772068966675993","0.00975325086859515","1.54394881001382","0","0.0064017120811371","0","0.772135501983432","0.024920385617704","0.772201168049479","0","0"
"197","0.756404008448776","0.00602374272796284","1.51273919617068","0","0.00395413226704759","0","0.756429396845513","0.0150753776623673","0.756455526156714","0","0"
"198","0.774695526249532","0.0119346561760541","1.54908327756776","0","0.00748791687979372","0","0.774802873502116","0.0324532767198234","0.774874633282148","0","0"
"199","0.74572236666554","0.017742778871934","1.49072251797386","0","0.0109736503687451","0","0.74596715596501","0.0492982099121359","0.746134608538801","0","0"
"200","0.781460886448425","0.0241009348993601","1.56179282272915","0","0.0146314163030311","0","0.781906176622847","0.0637054178920917","0.782165554551322","0","0"
"201","0.78729666114477","0.00664534209521769","1.57450862034265","0","0.00409615489023211","0","0.787330737154508","0.017305933478133","0.787349272510915","0","0"
"202","0.790012720609067","0.0232650226256108","1.57872941137354","0","0.014381509072585","0","0.790426066689072","0.0660721345601612","0.790681317934782","0","0"
"203","0.768575757573165","0.00667666559773594","1.53704303772868","0","0.00457726124190006","0","0.768604374564377","0.0183466267963858","0.768641697207581","0","0"
"204","0.787089371859578","0.00730911449492191","1.57405075385757","0","0.00454966350835626","0","0.787129425714387","0.0209165635852738","0.787155560481279","0","0"
"205","0.814272460464818","0.0177860588806043","1.62779048698808","0","0.0124651587653439","0","0.814468806779985","0.0481980759129009","0.814720409899456","0","0"
"206","0.773553464667187","0.0197257174010601","1.54620607893998","0","0.0126798857703512","0","0.773838172787757","0.0542403270734325","0.774063611029382","0","0"
"207","0.795150982374825","0.00719191038688405","1.5902296783777","0","0.00384658762092522","0","0.795195770535952","0.0178468979242857","0.795202704565858","0","0"
"208","0.756967964109408","0.022555323227882","1.51281472183988","0","0.014668365572773","0","0.757323028645286","0.0612378696199794","0.757663043369864","0","0"
"209","0.777865799978911","0.0174013709029582","1.55514310369199","0","0.0108872352014233","0","0.778089204068579","0.0453273403717213","0.778252262225155","0","0"
"210","0.769766360281904","0.00757726633438853","1.53939001721637","0","0.005113317026394","0","0.769804912512063","0.0211179172246552","0.769848194899255","0","0"
"211","0.774268363936941","0.0232674930888631","1.54758303473707","0","0.0129383716675769","0","0.774710166886397","0.0619212062179687","0.774870678147491","0","0"
"212","0.776255068676514","0.00392566758146317","1.5524750881449","0","0.00247053438357848","0","0.776266335828871","0.0109872553660132","0.776274716149411","0","0"
"213","0.776783453295703","0.00440551980777316","1.5535300812149","0","0.00271344440099983","0","0.776798465997936","0.0113488240893453","0.776806997593615","0","0"
"214","0.396283816661085","0.50131207558163","0.792314051248806","0.710939981290833","0.384022897731854","0.380717878495811","0.521990354774141","0.00674830787534434","0.518208440868978","0.497768111950951","0.501921348603672"
"215","0.783476411785984","0.0143785602399724","1.56643301850624","0","0.0100511652306286","0","0.783602669089075","0.0405397342098097","0.783768340072597","0","0"
"216","0.813273688465196","0.0284810626261176","1.62502154834896","0","0.0188534984779414","0","0.813824864353139","0.0695952963063721","0.814410887986303","0","0"
"217","0.775603724076178","0.0153770052498395","1.55080882265788","0","0.00920526204977278","0","0.775785230378634","0.0388977904143664","0.77588043608395","0","0"
"218","0.747774476722641","0.0123120410769341","1.49522130608802","0","0.00826247933949443","0","0.747876888141003","0.0324179488169386","0.747994769942256","0","0"
"219","0.76973445962364","0.0150621396780489","1.53891286440421","0","0.0104310627421568","0","0.769876909508902","0.0412306490114433","0.770068930254026","0","0"
"220","0.787440696699722","0.00638770960387111","1.574799952044","0","0.00380949797733518","0","0.787472656146762","0.0172479089385557","0.787488419496776","0","0"
"221","0.78806551164397","0.00376428037628655","1.57609303680755","0","0.00247739792646657","0","0.788075397079758","0.010890049378893","0.788084894473263","0","0"
