"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"94","0","0","0","5","0","-5.00000000000001","0","-5.00000000000001","0","0"
"95","5","0","5","0","0","0","0","-5","0","0"
"96","0","0","0","5","0","0","0","0","5","-5"
"97","0","0","0","0","-4.99999999999999","5","0","-4.99999999999999","0","0"
"98","-2.81421915564535e-17","3.16398058801417e-16","0","0","0","0","0","0","0","0"
"99","0","0","0","-5","0","-5.00000000000001","0","0","0","-5"
"100","0","0","0","-1.68657464449149e-15","0","5","0","0","0","0"
"101","4.99999999999999","0","0","0","0","0","5.00000000000002","-5","0","0"
"102","0","0","0.414717257559191","0","0","0","0","5","5","0"
"103","0","0","0","-4.9149123187876","0","0","0","-5.1701753624248","-4.9149123187876","0"
"104","-5","0","-4.90414598078842e-17","0","0","0","0","0","0","0"
"105","0","5","0","0","0","-4.99999999999999","0","0","0","-5"
"106","0","0","0","-0.251902911977246","-0.251902911977246","-5.00000000000001","0","0","0","0"
"107","2.48646107402877","0","7.51353892597123","0","0","0","0","0","0","2.48646107402877"
"108","0","30","0","0","0","0","0","-4.99999999999998","0","0"
"109","-5","0","0","0","0","0","5","0","5","0"
"110","-3.1682962144814","0","0","0","0","-0.789367306408547","0","0.789367306408545","0","0"
"111","5.00000000000001","0","0","0","0","5.00000000000001","0","5","0","0"
"112","0","0","0","0","0","-5.00000000000001","0","0","5.00000000000001","-5.00000000000001"
"113","0","4.55091424687632","0","4.55091424687632","0","0","0","0","4.55091424687632","0"
"114","0","2.03061145896469","2.03061145896469","0","0","-5","0","0","0","0"
"115","-7.13695677735659e-17","0","0","0","0","0","0","0","0","0"
"116","0","0","5","0","0","5","0","0","5","0"
"117","0","0","-3.93198291765301","0","0","0","0","0","-3.93198291765301","3.93198291765301"
"118","5.79381503488948","4.20618496511051","0","0","4.20618496511051","0","0","0","0","0"
"119","0","-5","0","0","0","-5","0","0","5","0"
"120","0","0","0","5","0","0","0","0","5","5.00000000000001"
"121","0","0","0","-4.66976905666206","0","0","-5","0","0","-5"
"122","0","0","0","-5","0","-5.00000000000001","0","0","0","-5"
"123","0","0","1.42288025409836e-16","0","0","0","0","0","5","0"
"124","0","0","2.70439775470938","7.29560224529061","-2.70439775470938","0","0","0","0","0"
"125","10","0","0","0","0","0","0","0","0","0"
"126","0","4.99999999999999","0","-2.72777221087849","0","-5.00000000000001","0","0","0","0"
"127","0","0","5","0","0","-4.99999999999999","5","0","0","0"
"128","5","0","0","-5","0","0","0","5","0","0"
"129","0","-4.75505139644907","-4.75505139644906","0","0","0","0","0","0","-5.24494860355092"
"130","0","0","0","0.480723526480983","-9.51927647351902","0","0","0","-5","0"
"131","0","6.74628040894672","0","0","-2.65074391821064","0","0","0.301487836421325","0","0"
"132","0","-3.68450503955058","5.91121670513341","0","0","0","0","-5.00000000000002","0","0"
"133","-4.19566325144583","4.19566325144583","0","0","0","0","0","0","0","5.80433674855416"
"134","0","0","0","0","0","0","0","0","0","-10"
"135","0","0","0","0","0","0","0","0","0","10"
"136","-5","0","0","0","0","5","0","0","0","-5"
"137","0","0","0","0","5","0","5.00000000000001","5","0","0"
"138","0","3.9132325236535","0","0","0","4.56529300946139","0","0","4.7826465047307","0"
"139","0","0","0","0","-5","5","5","0","0","0"
"140","0","-4.99999999999998","0","0","0","5","0","4.99999999999999","0","0"
"141","-5.00000000000001","0","0","4.81370994704858","0","0","-5.00000000000001","0","0","0"
"142","-3.95566508609618","0","3.95566508609619","0","0","0","4.99999999999997","0","0","0"
"143","0","0","4.56772391791955","0","0","0","-5.00000000000003","0","5.00000000000001","0"
"144","0","0","0.108053205803286","-0.108053205803286","0","0","-5","0","0","0"
