line,id,mean,SE
H,2,1.847,0.0068
BH,62,1.868,0.0082
BHr,59,1.875,0.0071
F1,8,1.822,0.0084
F1r,11,1.844,0.0059
F2a,14,1.833,0.0057
F2b,23,1.832,0.0086
BLr,65,1.812,0.0083
BL,68,1.853,0.0089
L,5,1.766,0.0126
