line,id,mean,SE
H,1,4.768,0.1011
BH,61,4.591,0.0715
BHr,58,4.723,0.0714
F1,7,4.618,0.0879
F1r,10,4.572,0.0879
F2a,13,4.417,0.0553
F2b,22,4.508,0.0565
BLr,64,4.495,0.0722
BL,67,4.25,0.0717
L,4,4.101,0.1009
